Nr,Recorded Date,What is your major?,Please select where you lived in before coming to Virginia Tech:,Please select your favorite hobby of the choices provided:,Have you heard the song "Hotline Bling" by "Drake",Do you like the song "Hotline Bling" by "Drake",Have you heard the song "Creep" by "Radiohead",Do you like the song "Creep" by "Radiohead",Have you heard the song "All of Me" by "John Legend",Do you like the song "All of Me" by "John Legend",Have you heard the song "My Heart Will Go On" by "Celine Dion",Do you like the song "My Heart Will Go On" by "Celine Dion",Have you heard the song "River Flows in You" by "Yiruma",Do you like the song "River Flows in You" by "Yiruma",Have you heard the song "Beauty and the Beast" by "Disney",Do you like the song "Beauty and the Beast" by "Disney",Have you heard the song "A Whole New World" by "Disney",Do you like the song "A Whole New World" by "Disney",Have you heard the song "Let it Go" by "Disney",Do you like the song "Let it Go" by "Disney",Have you heard the song "Hello" by "Adele",Do you like the song "Hello" by "Adele",Have you heard the song "Someone Like You" by "Adele",Do you like the song "Someone Like You" by "Adele",Have you heard the song "Wish You Were Here" by "Pink Floyd",Do you like the song "Wish You Were Here" by "Pink Floyd",Have you heard the song "Yesterday" by "The Beatles",Do you like the song "Yesterday" by "The Beatles",Have you heard the song "Eleanor R" by "by The Beatles",Do you like the song "Eleanor R" by "by The Beatles",Have you heard the song "Hey Jude" by "The Beatles",Do you like the song "Hey Jude" by "The Beatles",Have you heard the song "Don't Look Back in Anger" by "Oasis",Do you like the song "Don't Look Back in Anger" by "Oasis",Have you heard the song "Wonderwall" by "Oasis",Do you like the song "Wonderwall" by "Oasis",Have you heard the song "Clocks" by "Coldplay",Do you like the song "Clocks" by "Coldplay",Have you heard the song "Viva La Vida" by "Coldplay",Do you like the song "Viva La Vida" by "Coldplay",Have you heard the song "Snow" by "Red Hot Chili Peppers",Do you like the song "Snow" by "Red Hot Chili Peppers",Have you heard the song "Smooth" by "Santana",Do you like the song "Smooth" by "Santana",Have you heard the song "Careless Whisper" by "Wham!",Do you like the song "Careless Whisper" by "Wham!",Have you heard the song "Freebird" by "Lynyrd Skynyrd",Do you like the song "Freebird" by "Lynyrd Skynyrd",Have you heard the song "Tuesday's Gone" by "Lynyrd Skynyrd",Do you like the song "Tuesday's Gone" by "Lynyrd Skynyrd",Have you heard the song "Hotel California" by "The Eagles",Do you like the song "Hotel California" by "The Eagles",Have you heard the song "Master of Puppets" by "Metallica",Do you like the song "Master of Puppets" by "Metallica",Have you heard the song "Fade to Black" by "Metallica",Do you like the song "Fade to Black" by "Metallica",Have you heard the song "La La Land" by "City of Stars",Do you like the song "La La Land" by "City of Stars",Have you heard the song "November Rain" by "Guns n Roses",Do you like the song "November Rain" by "Guns n Roses",Have you heard the song "Stairway to Heaven" by "Led Zeppelin",Do you like the song "Stairway to Heaven" by "Led Zeppelin",Have you heard the song "Bohemian Rhapsody" by "Queen",Do you like the song "Bohemian Rhapsody" by "Queen",Have you heard the song "Don't Stop Me Now" by "Queen",Do you like the song "Don't Stop Me Now" by "Queen",Have you heard the song "Tiny Dancer" by "Elton John",Do you like the song "Tiny Dancer" by "Elton John",Have you heard the song "Piano Man" by "Billie Joel",Do you like the song "Piano Man" by "Billie Joel",Have you heard the song "People are Strange" by "The Doors",Do you like the song "People are Strange" by "The Doors",Have you heard the song "Radioactive" by "Imagine Dragons",Do you like the song "Radioactive" by "Imagine Dragons",Have you heard the song "Numb" by "Linkin Park",Do you like the song "Numb" by "Linkin Park",Have you heard the song "Eye of the Tiger" by "Survivor",Do you like the song "Eye of the Tiger" by "Survivor",Have you heard the song "The Final Countdown" by "Europe",Do you like the song "The Final Countdown" by "Europe",Have you heard the song "Thunderstruck" by "AC/DC",Do you like the song "Thunderstruck" by "AC/DC",Have you heard the song "Smells Like Teen Spirit" by "Nirvana",Do you like the song "Smells Like Teen Spirit" by "Nirvana",Have you heard the song "Smooth Criminal" by "Michael Jackson",Do you like the song "Smooth Criminal" by "Michael Jackson",Have you heard the song "Beat It" by "Michael Jackson",Do you like the song "Beat It" by "Michael Jackson",Have you heard the song "Billie Jean" by "Michael Jackson",Do you like the song "Billie Jean" by "Michael Jackson",Have you heard the song "500 Miles" by "Proclaimers",Do you like the song "500 Miles" by "Proclaimers",Have you heard the song "Don't Stop Believin'" by "Journey",Do you like the song "Don't Stop Believin'" by "Journey",Have you heard the song "All I Want for Christmas is You" by "Mariah Carey",Do you like the song "All I Want for Christmas is You" by "Mariah Carey",Have you heard the song "Hot n Cold" by "Katy Perry",Do you like the song "Hot n Cold" by "Katy Perry",Have you heard the song "Hips Don't Lie" by "Shakira",Do you like the song "Hips Don't Lie" by "Shakira",Have you heard the song "Get Lucky" by "Daft Punk",Do you like the song "Get Lucky" by "Daft Punk",Have you heard the song "Moves Like Jagger" by "Maroon 5",Do you like the song "Moves Like Jagger" by "Maroon 5",Have you heard the song "Blank Space" by "Taylor Swift",Do you like the song "Blank Space" by "Taylor Swift",Have you heard the song "Cry Me a River" by "Justin Timberlake",Do you like the song "Cry Me a River" by "Justin Timberlake",Have you heard the song "Bridge Over Troubled Water" by "Simon & Garfunkel",Do you like the song "Bridge Over Troubled Water" by "Simon & Garfunkel",Have you heard the song "The Sound of Silence" by "Simon & Garfunkel",Do you like the song "The Sound of Silence" by "Simon & Garfunkel",Have you heard the song "Shape of You" by "Ed Sheeran",Do you like the song "Shape of You" by "Ed Sheeran",Have you heard the song "Despacito" by "Luis Fonsi",Do you like the song "Despacito" by "Luis Fonsi",Have you heard the song "Sweet Child O' Mine" by "Guns N'Roses",Do you like the song "Sweet Child O' Mine" by "Guns N'Roses",Have you heard the song "Welcome to the Jungle" by "Guns N'Roses",Do you like the song "Welcome to the Jungle" by "Guns N'Roses",Have you heard the song "Warriors" by "Imagine Dragons",Do you like the song "Warriors" by "Imagine Dragons",Have you heard the song "Let it Be" by "The Beatles",Do you like the song "Let it Be" by "The Beatles",Have you heard the song "Stayin' Alive" by "Bee Gees",Do you like the song "Stayin' Alive" by "Bee Gees",Have you heard the song "Take On Me" by "a-ha",Do you like the song "Take On Me" by "a-ha",Have you heard the song "Rocket Man" by "Elton John",Do you like the song "Rocket Man" by "Elton John",Have you heard the song "Your Song" by "Elton John",Do you like the song "Your Song" by "Elton John",Have you heard the song "Circle of Life" by "The Lion King",Do you like the song "Circle of Life" by "The Lion King",Have you heard the song "Can You Feel the Love Tonight" by "The Lion King",Do you like the song "Can You Feel the Love Tonight" by "The Lion King",Have you heard the song "Dream on" by "Aerosmith",Do you like the song "Dream on" by "Aerosmith",Have you heard the song "I Don't Wanna Miss the Thing" by "Aerosmith",Do you like the song "I Don't Wanna Miss the Thing" by "Aerosmith",Have you heard the song "Canon in D" by "Pachelbel",Do you like the song "Canon in D" by "Pachelbel",Have you heard the song "Fur Elise" by "Beethoven",Do you like the song "Fur Elise" by "Beethoven",Have you heard the song "Moonlight Sonata 3rd movement" by "Beethoven",Do you like the song "Moonlight Sonata 3rd movement" by "Beethoven",Have you heard the song "The Flight of the Bumblebee" by "Rimsky-Korsakov",Do you like the song "The Flight of the Bumblebee" by "Rimsky-Korsakov"
1,2018-03-14 09:14:51,Math or CMDA,Northeast,reading,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No
2,2018-03-14 10:20:07,Math or CMDA,United States (other than Southeast or Northwest),sports,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
3,2018-03-14 10:20:42,Computer Science,Southeast,music,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
4,2018-03-14 10:20:54,Other,Southeast,music,Yes,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
5,2018-03-14 10:21:10,Math or CMDA,Southeast,sports,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
6,2018-03-14 10:37:44,Computer Science,Southeast,sports,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
7,2018-03-14 10:55:51,Computer Science,Northeast,sports,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes, , ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
8,2018-03-14 10:58:20,Computer Science,Outside of United States,music,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
9,2018-03-14 10:58:27,Computer Science,Outside of United States,music,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes
10,2018-03-14 10:58:31,Other,Southeast,sports,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes
