Song Title,Artist,Year,Genre
Hotline Bling,Drake,2015,R&B
Creep,Radiohead,1992,Alternative
All of Me,John Legend,2013,R&B
My Heart Will Go On,Celine Dion,1997,Pop
River Flows in You,Yiruma,2011,Instrumental
Beauty and the Beast,Disney,1991,Soundtrack
A Whole New World,Disney,1992,Soundtrack
Let it Go,Disney,2013,Soundtrack
Hello,Adele,2014,Soul
Someone Like You,Adele,2011,Soul
Wish You Were Here,Pink Floyd,1975,Rock
Yesterday,The Beatles,1965,Pop
Eleanor R,The Beatles,1966,Pop
Hey Jude,The Beatles,1968,Rock
Don't Look Back in Anger,Oasis,1996,Pop
Wonderwall,Oasis,1995,Pop
Clocks,Coldplay,2003,Rock
Viva La Vida,Coldplay,2008,Pop
Snow,Red Hot Chili Peppers,2006,Rock
Smooth,Santana,1999,Rock
Careless Whisper,Wham!,1984,Jazz
Freebird,Lynyrd Skynyrd,1974,Rock
Tuesday's Gone,Lynyrd Skynyrd,1973,Rock
Hotel California,The Eagles,1977,Rock
Master of Puppets,Metallica,1986,Metal
Fade to Black,Metallica,1984,Metal
La La Land,City of Stars,2016,Soundtrack
November Rain,Guns n Roses,1992,Rock
Stairway to Heaven,Led Zeppelin,1971,Rock
Bohemian Rhapsody,Queen,1975,Rock
Don't Stop Me Now,Queen,1979,Rock
Tiny Dancer,Elton John,1972,Pop
Piano Man,Billie Joel,1973,Rock
People are Strange,The Doors,1967,Rock
Radioactive,Imagine Dragons,2012,Rock
Numb,Linkin Park,2003,Rock
Eye of the Tiger,Survivor,1982,Rock
The Final Countdown,Europe,1986,Rock
Thunderstruck,AC/DC,1990,Rock
Smells Like Teen Spirit,Nirvana,1991,Rock
Smooth Criminal,Michael Jackson,1988,R&B
Beat It,Michael Jackson,1983,Rock
Billie Jean,Michael Jackson,1983,Pop
500 Miles,Proclaimers,1988,Rock
Don't Stop Believin',Journey,1981,Rock
All I Want for Christmas is You,Mariah Carey,1994,R&B
Hot n Cold,Katy Perry,2008,Pop
Hips Don't Lie,Shakira,2006,Pop
Get Lucky,Daft Punk,2013,Pop
Moves Like Jagger,Maroon 5,2011,Pop
Blank Space,Taylor Swift,2014,Pop
Cry Me a River,Justin Timberlake,2002,R&B
Bridge Over Troubled Water,Simon & Garfunkel,1970,Pop
The Sound of Silence,Simon & Garfunkel,1964,Rock
Shape of You,Ed Sheeran,2017,Pop
Despacito,Luis Fonsi,2017,Pop
Sweet Child O' Mine,Guns N'Roses,1988,Rock
Welcome to the Jungle,Guns N'Roses,1987,Metal
Warriors,Imagine Dragons,2014,Rock
Let it Be,The Beatles,1970,Rock
Stayin' Alive,Bee Gees,1977,Pop
Take On Me,a-ha,1984,Pop
Rocket Man,Elton John,1972,Rock
Your Song,Elton John,1970,Pop
Circle of Life,The Lion King,1994,Soundtrack
Can You Feel the Love Tonight,The Lion King,1994,Soundtrack
Dream On,Aerosmith,1973,Rock
I Don't Wanna Miss a Thing,Aerosmith,1998,Rock
Canon in D,Pachelbel,1680,Classical
Fur Elise,Beethoven,1867,Classical
Moonlight Sonata 3rd movement,Beethoven,1801,Classical
The Flight of the Bumblebee,Rimsky-Korsakov,1899,Classical
